EEP,M/Mo,LogTeff,LogG,LogL/Lo,DECam_u,DECam_g,DECam_r,DECam_i,DECam_z,DECam_Y
12,0.110313,3.5367,5.335,-2.7544,16.4185,13.8752,12.2875,11.4807,11.1531,11.0515
13,0.121584,3.5434,5.2851,-2.6354,15.9944,13.4864,11.9245,11.178,10.8613,10.7594
14,0.135196,3.5506,5.2344,-2.5097,15.5359,13.0769,11.5449,10.8574,10.5525,10.4517
15,0.151432,3.558,5.1891,-2.3857,15.0739,12.6731,11.1744,10.5403,10.247,10.1481
16,0.168416,3.5647,5.1548,-2.2785,14.6653,12.323,10.8576,10.2657,9.9826,9.8857
17,0.183621,3.5698,5.1289,-2.1943,14.3452,12.0501,10.613,10.0501,9.7746,9.6795
18,0.197344,3.5738,5.107,-2.1252,14.0875,11.8295,10.4161,9.8732,9.6036,9.51
19,0.21142,3.5773,5.0859,-2.0603,13.8508,11.626,10.2344,9.7076,9.4431,9.3507
20,0.226866,3.5806,5.0653,-1.9958,13.6179,11.4255,10.0556,9.5431,9.2834,9.1923
21,0.243066,3.5837,5.046,-1.9342,13.3969,11.2352,9.8863,9.3862,9.131,9.0411
22,0.259934,3.5866,5.0284,-1.8759,13.1876,11.0551,9.7266,9.2375,8.9865,8.8978
23,0.277683,3.5894,5.0124,-1.82,12.9875,10.8832,9.5745,9.0952,8.8481,8.7606
24,0.292729,3.5916,4.9996,-1.7755,12.8284,10.7466,9.4538,8.982,8.738,8.6514
25,0.303744,3.5931,4.9906,-1.7443,12.7165,10.6509,9.3695,8.9026,8.6607,8.5749
26,0.311534,3.5941,4.9848,-1.7236,12.6426,10.5875,9.3135,8.8498,8.6094,8.5239
27,0.317097,3.5948,4.981,-1.7092,12.5914,10.5436,9.2748,8.8133,8.5739,8.4887
28,0.321372,3.5954,4.9786,-1.6988,12.5534,10.5113,9.2465,8.7867,8.548,8.4631
29,0.324964,3.5959,4.9763,-1.6897,12.5201,10.483,9.2218,8.7635,8.5255,8.4409
30,0.328428,3.5963,4.9738,-1.6808,12.4878,10.4553,9.1977,8.7407,8.5034,8.419
31,0.33264,3.5969,4.9712,-1.6704,12.4496,10.4229,9.1694,8.7142,8.4777,8.3935
32,0.337627,3.5976,4.9679,-1.6578,12.4036,10.3838,9.1354,8.6823,8.4468,8.3629
33,0.343615,3.5984,4.9633,-1.6422,12.3471,10.3356,9.0933,8.6426,8.4082,8.3247
34,0.352031,3.5997,4.9558,-1.6193,12.2633,10.2641,9.0311,8.5841,8.3515,8.2685
35,0.385351,3.606,4.9213,-1.52,11.8878,9.9454,8.7589,8.3302,8.1067,8.0268
36,0.409958,3.6121,4.8924,-1.4401,11.5786,9.6811,8.5373,8.1252,7.9106,7.8338
37,0.421781,3.6154,4.8771,-1.3991,11.4202,9.5439,8.4229,8.0199,7.8102,7.7351
38,0.432254,3.6187,4.8631,-1.3613,11.2735,9.416,8.3169,7.9228,7.718,7.6445
39,0.443022,3.6224,4.8487,-1.3214,11.1172,9.2793,8.2044,7.8204,7.6211,7.5495
40,0.454963,3.627,4.8333,-1.2761,10.9362,9.1215,8.0761,7.7043,7.5118,7.4425
41,0.467744,3.6326,4.8172,-1.2256,10.7287,8.9412,7.9314,7.5747,7.3904,7.324
42,0.479937,3.6385,4.8025,-1.1758,10.5192,8.7599,7.7878,7.4471,7.2719,7.2085
43,0.490947,3.6444,4.7903,-1.1304,10.3223,8.5912,7.6557,7.3308,7.1644,7.1041
44,0.500547,3.6497,4.7805,-1.0908,10.1451,8.442,7.54,7.2295,7.0713,7.0138
45,0.50898,3.6547,4.7726,-1.0557,9.9803,8.3087,7.4376,7.1399,6.9892,6.9343
46,0.51694,3.6597,4.7659,-1.0221,9.8134,8.1803,7.3396,7.0542,6.9108,6.8586
47,0.525034,3.6651,4.7595,-0.9877,9.6355,8.0486,7.2393,6.9664,6.8306,6.7813
